stock,broker,rating,target_price,previous_price,date,source_url,symbol
PTCIL,Goldman Sachs,BUY,-1,17716,2025-11-09,https://economictimes.indiatimes.com/markets/stocks/news/goldman-raises-india-to-overweight-2026-nifty-target-at-29000/articleshow/125211800.cms,NSE:PTCIL
POWERINDIA,Goldman Sachs,BUY,-1,19043,2025-11-09,https://economictimes.indiatimes.com/markets/stocks/news/goldman-raises-india-to-overweight-2026-nifty-target-at-29000/articleshow/125211800.cms,NSE:POWERINDIA
MAPMYINDIA,Goldman Sachs,BUY,-1,1286,2025-11-09,https://economictimes.indiatimes.com/markets/stocks/news/goldman-raises-india-to-overweight-2026-nifty-target-at-29000/articleshow/125211800.cms,NSE:MAPMYINDIA
TBOTEK,Goldman Sachs,BUY,-1,1452.3,2025-11-09,https://economictimes.indiatimes.com/markets/stocks/news/goldman-raises-india-to-overweight-2026-nifty-target-at-29000/articleshow/125211800.cms,NSE:TBOTEK
BHARTIARTL,Goldman Sachs,BUY,-1,2025.8,2025-11-09,https://economictimes.indiatimes.com/markets/stocks/news/goldman-raises-india-to-overweight-2026-nifty-target-at-29000/articleshow/125211800.cms,NSE:BHARTIARTL
APOLLOHOSP,Goldman Sachs,BUY,-1,7116,2025-11-09,https://economictimes.indiatimes.com/markets/stocks/news/goldman-raises-india-to-overweight-2026-nifty-target-at-29000/articleshow/125211800.cms,NSE:APOLLOHOSP
UNOMINDA,Goldman Sachs,BUY,-1,1204.8,2025-11-09,https://economictimes.indiatimes.com/markets/stocks/news/goldman-raises-india-to-overweight-2026-nifty-target-at-29000/articleshow/125211800.cms,NSE:UNOMINDA
DATAPATTNS,Goldman Sachs,BUY,-1,2618.6,2025-11-09,https://economictimes.indiatimes.com/markets/stocks/news/goldman-raises-india-to-overweight-2026-nifty-target-at-29000/articleshow/125211800.cms,NSE:DATAPATTNS
KEI,Goldman Sachs,BUY,-1,4423.3,2025-11-09,https://economictimes.indiatimes.com/markets/stocks/news/goldman-raises-india-to-overweight-2026-nifty-target-at-29000/articleshow/125211800.cms,NSE:KEI
METROBRAND,Goldman Sachs,BUY,1340,1028.5,2026-01-29,https://economictimes.indiatimes.com/markets/stocks/news/stocks-to-buy-in-2026-for-long-term-sbi-life-metro-brands-among-5-stocks-that-could-give-10-40-return/articleshow/116345678.cms,NSE:METROBRAND
SBILIFE,Goldman Sachs,BUY,2000,2041.7,2026-01-29,https://economictimes.indiatimes.com/markets/stocks/news/stocks-to-buy-in-2026-for-long-term-sbi-life-metro-brands-among-5-stocks-that-could-give-10-40-return/articleshow/116345678.cms,NSE:SBILIFE
